i, live, q0, q1, q2, q3, q4
-0192, -0192, -0192, -0192, -0192, -0192, -0192
-0191, -0191, -0192, -0192, -0192, -0192, -0192
-0190, -0190, -0192, -0192, -0192, -0192, -0192
-0189, -0189, -0192, -0192, -0192, -0192, -0192
-0188, -0188, -0192, -0192, -0192, -0192, -0186
-0187, -0187, -0192, -0192, -0192, -0192, -0186
-0186, -0186, -0192, -0192, -0192, -0192, -0186
-0185, -0185, -0192, -0192, -0192, -0180, -0186
-0184, -0184, -0192, -0192, -0192, -0180, -0186
-0183, -0183, -0192, -0192, -0192, -0180, -0186
-0182, -0182, -0192, -0192, -0192, -0180, -0180
-0181, -0181, -0192, -0192, -0192, -0180, -0180
-0180, -0180, -0192, -0192, -0192, -0180, -0180
-0179, -0179, -0192, -0192, -0168, -0180, -0180
-0178, -0178, -0192, -0192, -0168, -0180, -0180
-0177, -0177, -0192, -0192, -0168, -0180, -0180
-0176, -0176, -0192, -0192, -0168, -0180, -0174
-0175, -0175, -0192, -0192, -0168, -0180, -0174
-0174, -0174, -0192, -0192, -0168, -0180, -0174
-0173, -0173, -0192, -0192, -0168, -0168, -0174
-0172, -0172, -0192, -0192, -0168, -0168, -0174
-0171, -0171, -0192, -0192, -0168, -0168, -0174
-0170, -0170, -0192, -0192, -0168, -0168, -0168
-0169, -0169, -0192, -0192, -0168, -0168, -0168
-0168, -0168, -0192, -0192, -0168, -0168, -0168
-0167, -0167, -0192, -0144, -0168, -0168, -0168
-0166, -0166, -0192, -0144, -0168, -0168, -0168
-0165, -0165, -0192, -0144, -0168, -0168, -0168
-0164, -0164, -0192, -0144, -0168, -0168, -0162
-0163, -0163, -0192, -0144, -0168, -0168, -0162
-0162, -0162, -0192, -0144, -0168, -0168, -0162
-0161, -0161, -0192, -0144, -0168, -0156, -0162
-0160, -0160, -0192, -0144, -0168, -0156, -0162
-0159, -0159, -0192, -0144, -0168, -0156, -0162
-0158, -0158, -0192, -0144, -0168, -0156, -0156
-0157, -0157, -0192, -0144, -0168, -0156, -0156
-0156, -0156, -0192, -0144, -0168, -0156, -0156
-0155, -0155, -0192, -0144, -0144, -0156, -0156
-0154, -0154, -0192, -0144, -0144, -0156, -0156
-0153, -0153, -0192, -0144, -0144, -0156, -0156
-0152, -0152, -0192, -0144, -0144, -0156, -0150
-0151, -0151, -0192, -0144, -0144, -0156, -0150
-0150, -0150, -0192, -0144, -0144, -0156, -0150
-0149, -0149, -0192, -0144, -0144, -0144, -0150
-0148, -0148, -0192, -0144, -0144, -0144, -0150
-0147, -0147, -0192, -0144, -0144, -0144, -0150
-0146, -0146, -0192, -0144, -0144, -0144, -0144
-0145, -0145, -0192, -0144, -0144, -0144, -0144
-0144, -0144, -0192, -0144, -0144, -0144, -0144
-0143, -0143, -0096, -0144, -0144, -0144, -0144
-0142, -0142, -0096, -0144, -0144, -0144, -0144
-0141, -0141, -0096, -0144, -0144, -0144, -0144
-0140, -0140, -0096, -0144, -0144, -0144, -0138
-0139, -0139, -0096, -0144, -0144, -0144, -0138
-0138, -0138, -0096, -0144, -0144, -0144, -0138
-0137, -0137, -0096, -0144, -0144, -0132, -0138
-0136, -0136, -0096, -0144, -0144, -0132, -0138
-0135, -0135, -0096, -0144, -0144, -0132, -0138
-0134, -0134, -0096, -0144, -0144, -0132, -0132
-0133, -0133, -0096, -0144, -0144, -0132, -0132
-0132, -0132, -0096, -0144, -0144, -0132, -0132
